id,user_id,workout_id,exercise_id,weight,reps,set_number,created_at
1783,1,381,1,110,8,1,2025-07-07 22:58:42+10
1784,1,381,1,120,5,1,2025-07-07 22:58:42+10
1785,1,381,1,110,8,1,2025-07-07 22:58:42+10
1786,1,382,1,120,4,1,2025-07-07 22:58:42+10
1787,1,382,1,125,3,1,2025-07-07 22:58:42+10
1788,1,383,1,120,5,1,2025-07-07 22:58:42+10
1789,1,384,1,120,3,1,2025-07-07 22:58:42+10
1790,1,385,1,140,3,1,2025-07-07 22:58:42+10
1791,1,386,1,130,5,1,2025-07-07 22:58:42+10
1792,1,387,1,137,4,1,2025-07-07 22:58:42+10
1793,1,388,1,140,4,1,2025-07-07 22:58:42+10
1794,1,389,1,145,1,1,2025-07-07 22:58:42+10
1795,1,389,1,130,3,1,2025-07-07 22:58:42+10
1796,1,390,1,120,5,1,2025-07-07 22:58:42+10
1797,1,391,1,135,1,1,2025-07-07 22:58:42+10
1798,1,392,1,130,5,1,2025-07-07 22:58:42+10
1799,1,393,1,140,3,1,2025-07-07 22:58:42+10
1800,1,393,1,120,5,1,2025-07-07 22:58:42+10
1801,1,393,1,120,4,1,2025-07-07 22:58:42+10
1802,1,394,1,140,1,1,2025-07-07 22:58:42+10
1803,1,394,1,150,1,1,2025-07-07 22:58:42+10
1804,1,394,1,120,4,1,2025-07-07 22:58:42+10
1805,1,395,1,132,5,1,2025-07-07 22:58:42+10
1806,1,396,1,120,3,1,2025-07-07 22:58:42+10
1807,1,396,1,140,4,1,2025-07-07 22:58:42+10
1808,1,397,1,140,1,1,2025-07-07 22:58:42+10
1809,1,397,1,150,2,1,2025-07-07 22:58:42+10
1810,1,397,1,120,3,1,2025-07-07 22:58:42+10
1811,1,397,1,120,4,1,2025-07-07 22:58:42+10
1812,1,398,1,120,3,1,2025-07-07 22:58:42+10
1813,1,398,1,140,6,1,2025-07-07 22:58:42+10
1814,1,398,1,100,5,1,2025-07-07 22:58:42+10
1815,1,399,1,120,3,1,2025-07-07 22:58:42+10
1816,1,399,1,150,3,1,2025-07-07 22:58:42+10
